produto,mae_holdout_ultimo_mes
Hot Dog Seladinho,2.1031261940589907
Hot Dog Simples,0.9032871652007954
Salsicha,0.033841357565059293
Sprite Lemon Fresh,0.285537054307284
Hot Dog Nervoso,1.6594405447399279
Bacon 60g,0.6962908606867272
Coca-Cola Original 350mL,0.324805834172368
Coca-Cola Zero 350mL,0.45744942943987954
Fanta Uva 350mL,0.2424931488952974
Coca-Cola Original 600mL,0.39940321463412914
Hot Dog Catupiry,0.49195418660993695
Hot Dog com Bacon e Catupiry,0.567077560670542
Coca-Cola Original 200mL,0.24832304972087976
Coca-Cola Zero 200mL,0.4000466770802715
Guaraná Antárctica 200mL,0.4413510694310389
Fanta Laranja 350mL,0.2726531707763644
Guaraná Antárctica 350mL,0.19149615078649618
Boizinho Bacon,0.2534246624698981
Schweppes 350mL,0.09786217766427556
Boizinho,0.03460012090582731
Boizão,0.10279072624346551
Boizinho Salada,0.17643984732767867
Guaraná Antárctica 600mL,0.011784009286408834
Boizinho Caipira,0.09140123907807818
Doguinho,0.36325591322679457
Frango Catupiry com Bacon,0.19203076701555585
Fanta Guaraná 350mL,0.01977091363278494
Frango Seladinho,0.15212381585971446
Frango Catupiry,0.08038347655826861
Sprite 350mL,0.23594462710458336
Água Tônica,0.013492719491166741
Ifood Salsicha,1.2633993040426594
Água Com gás,0.1387007152522086
Coca-cola Zero 600mL,0.48234501469710583
Mini Catupiry Selado,0.05074354678697411
Água Sem gás,0.007463503166808103
Mini Bacon,0.5529582484095726
Mini Catupiry Dentro,0.1346277864220111
